destination,origin,outbound_date,quote
LOND-sky,BKKT-sky,2021-01-05,420
LOND-sky,BKKT-sky,2021-01-06,463
LOND-sky,BKKT-sky,2021-01-07,452
LOND-sky,BKKT-sky,2021-01-08,462
LOND-sky,BKKT-sky,2021-01-09,467
LOND-sky,BKKT-sky,2021-01-10,381
LOND-sky,BKKT-sky,2021-01-11,355
LOND-sky,BKKT-sky,2021-01-12,380
LOND-sky,BKKT-sky,2021-01-13,377
LOND-sky,BKKT-sky,2021-01-14,345
LOND-sky,BKKT-sky,2021-01-15,423
LOND-sky,BKKT-sky,2021-01-16,407
LOND-sky,BKKT-sky,2021-01-17,338
LOND-sky,BKKT-sky,2021-01-18,378
LOND-sky,BKKT-sky,2021-01-19,446
LOND-sky,BKKT-sky,2021-01-20,
LOND-sky,BKKT-sky,2021-01-21,321
LOND-sky,BKKT-sky,2021-01-22,455
LOND-sky,BKKT-sky,2021-01-23,393
LOND-sky,BKKT-sky,2021-01-24,457
LOND-sky,BKKT-sky,2021-01-25,376
LOND-sky,BKKT-sky,2021-01-26,456
LOND-sky,BKKT-sky,2021-01-27,
LOND-sky,BKKT-sky,2021-01-28,321
LOND-sky,BKKT-sky,2021-01-29,
LOND-sky,BKKT-sky,2021-01-30,393
LOND-sky,BKKT-sky,2021-01-31,339
SINS-sky,BKKT-sky,2021-01-01,135
SINS-sky,BKKT-sky,2021-01-02,136
SINS-sky,BKKT-sky,2021-01-03,136
SINS-sky,BKKT-sky,2021-01-04,136
SINS-sky,BKKT-sky,2021-01-05,49
SINS-sky,BKKT-sky,2021-01-06,
SINS-sky,BKKT-sky,2021-01-07,49
SINS-sky,BKKT-sky,2021-01-08,136
SINS-sky,BKKT-sky,2021-01-09,135
SINS-sky,BKKT-sky,2021-01-10,41
SINS-sky,BKKT-sky,2021-01-11,
SINS-sky,BKKT-sky,2021-01-12,
SINS-sky,BKKT-sky,2021-01-13,
SINS-sky,BKKT-sky,2021-01-14,
SINS-sky,BKKT-sky,2021-01-15,
SINS-sky,BKKT-sky,2021-01-16,
SINS-sky,BKKT-sky,2021-01-17,136
SINS-sky,BKKT-sky,2021-01-18,48
SINS-sky,BKKT-sky,2021-01-19,136
SINS-sky,BKKT-sky,2021-01-20,
SINS-sky,BKKT-sky,2021-01-21,
SINS-sky,BKKT-sky,2021-01-22,
SINS-sky,BKKT-sky,2021-01-23,
SINS-sky,BKKT-sky,2021-01-24,
SINS-sky,BKKT-sky,2021-01-25,
SINS-sky,BKKT-sky,2021-01-26,
SINS-sky,BKKT-sky,2021-01-27,
SINS-sky,BKKT-sky,2021-01-28,136
SINS-sky,BKKT-sky,2021-01-29,
SINS-sky,BKKT-sky,2021-01-30,
SINS-sky,BKKT-sky,2021-01-31,
PARI-sky,BKKT-sky,2021-01-01,448
PARI-sky,BKKT-sky,2021-01-02,450
PARI-sky,BKKT-sky,2021-01-03,
PARI-sky,BKKT-sky,2021-01-04,476
PARI-sky,BKKT-sky,2021-01-05,465
PARI-sky,BKKT-sky,2021-01-06,
PARI-sky,BKKT-sky,2021-01-07,
PARI-sky,BKKT-sky,2021-01-08,
PARI-sky,BKKT-sky,2021-01-09,
PARI-sky,BKKT-sky,2021-01-10,
PARI-sky,BKKT-sky,2021-01-11,404
PARI-sky,BKKT-sky,2021-01-12,
PARI-sky,BKKT-sky,2021-01-13,
PARI-sky,BKKT-sky,2021-01-14,
PARI-sky,BKKT-sky,2021-01-15,
PARI-sky,BKKT-sky,2021-01-16,
PARI-sky,BKKT-sky,2021-01-17,
PARI-sky,BKKT-sky,2021-01-18,
PARI-sky,BKKT-sky,2021-01-19,454
PARI-sky,BKKT-sky,2021-01-20,
PARI-sky,BKKT-sky,2021-01-21,
PARI-sky,BKKT-sky,2021-01-22,
PARI-sky,BKKT-sky,2021-01-23,
PARI-sky,BKKT-sky,2021-01-24,435
PARI-sky,BKKT-sky,2021-01-25,
PARI-sky,BKKT-sky,2021-01-26,
PARI-sky,BKKT-sky,2021-01-27,
PARI-sky,BKKT-sky,2021-01-28,407
PARI-sky,BKKT-sky,2021-01-29,448
PARI-sky,BKKT-sky,2021-01-30,
PARI-sky,BKKT-sky,2021-01-31,
DXBA-sky,BKKT-sky,2021-01-01,1036
DXBA-sky,BKKT-sky,2021-01-02,278
DXBA-sky,BKKT-sky,2021-01-03,
DXBA-sky,BKKT-sky,2021-01-04,
DXBA-sky,BKKT-sky,2021-01-05,286
DXBA-sky,BKKT-sky,2021-01-06,
DXBA-sky,BKKT-sky,2021-01-07,382
DXBA-sky,BKKT-sky,2021-01-08,
DXBA-sky,BKKT-sky,2021-01-09,354
DXBA-sky,BKKT-sky,2021-01-10,251
DXBA-sky,BKKT-sky,2021-01-11,383
DXBA-sky,BKKT-sky,2021-01-12,
DXBA-sky,BKKT-sky,2021-01-13,
DXBA-sky,BKKT-sky,2021-01-14,287
DXBA-sky,BKKT-sky,2021-01-15,
DXBA-sky,BKKT-sky,2021-01-16,
DXBA-sky,BKKT-sky,2021-01-17,
DXBA-sky,BKKT-sky,2021-01-18,
DXBA-sky,BKKT-sky,2021-01-19,
DXBA-sky,BKKT-sky,2021-01-20,382
DXBA-sky,BKKT-sky,2021-01-21,286
DXBA-sky,BKKT-sky,2021-01-22,
DXBA-sky,BKKT-sky,2021-01-23,
DXBA-sky,BKKT-sky,2021-01-24,
DXBA-sky,BKKT-sky,2021-01-25,
DXBA-sky,BKKT-sky,2021-01-26,
DXBA-sky,BKKT-sky,2021-01-27,
DXBA-sky,BKKT-sky,2021-01-28,
DXBA-sky,BKKT-sky,2021-01-29,260
DXBA-sky,BKKT-sky,2021-01-30,
DXBA-sky,BKKT-sky,2021-01-31,
NYCA-sky,BKKT-sky,2021-01-01,635
NYCA-sky,BKKT-sky,2021-01-02,731
NYCA-sky,BKKT-sky,2021-01-03,786
NYCA-sky,BKKT-sky,2021-01-04,737
NYCA-sky,BKKT-sky,2021-01-05,709
NYCA-sky,BKKT-sky,2021-01-06,699
NYCA-sky,BKKT-sky,2021-01-07,812
NYCA-sky,BKKT-sky,2021-01-08,699
NYCA-sky,BKKT-sky,2021-01-09,518
NYCA-sky,BKKT-sky,2021-01-10,698
NYCA-sky,BKKT-sky,2021-01-11,531
